Date,number of theaters
"Nov 1, 2019
            ",1342
"Oct 18, 2019 ",978
"Nov 1, 2019",5
"Nov 1, 2019",11
"Nov 1, 2019",3
"Nov 1, 2019",1
"Nov 1, 2019",1
"Nov 1, 2019",1
"Nov 1, 2019",1
"Nov 1, 2019",1
"Nov 2, 2019",684
"Nov 2, 2019",471
"Nov 4, 2019",789
"Nov 6, 2019",494
"Nov 6, 2019",494
"Nov 7, 2019",494
"Nov 8, 2019
            ",3855
"Nov 8, 2019
            ",3454
"Nov 8, 2019
            ",3242
"Nov 8, 2019",3185
"Nov 8, 2019",88
"Nov 8, 2019",29
"Oct 18, 2019 ",1173
"Nov 8, 2019",4
"Nov 8, 2019",460
"Nov 8, 2019",5
"Nov 8, 2019",3
"Oct 11, 2019 ",2001
"Nov 8, 2019",2
"Nov 8, 2019",18
"Nov 8, 2019",1
"Nov 8, 2019",4
"Nov 8, 2019",4
"Nov 10, 2019",681
"Nov 11, 2019",459
"Nov 12, 2019",121
"Nov 12, 2019",692
"Nov 13, 2019",500
"Nov 14, 2019",677
"Nov 15, 2019",3746
"Nov 15, 2019",3452
"Nov 15, 2019
            ",2454
"Nov 15, 2019
            ",277
"Nov 15, 2019",65
"Nov 15, 2019",13
"Nov 15, 2019",570
"Nov 15, 2019",10
"Nov 15, 2019",2
"Nov 15, 2019",2
"Nov 15, 2019",22
"Nov 15, 2019",5
"Nov 15, 2019",21
"Nov 17, 2019",752
"Nov 17, 2019",383
"Nov 18, 2019",399
"Nov 19, 2019",288
"Nov 21, 2019",388
"Apr 26, 2019 ",36
"Aug 2, 2019 ",10
"Nov 22, 2019",4440
"Nov 22, 2019
            ",3491
"Nov 22, 2019
            ",2665
"Nov 22, 2019",116
"Nov 22, 2019 ",2112
"Nov 22, 2019",3
"Nov 22, 2019",10
"Nov 22, 2019",2
"Nov 22, 2019",1
"Nov 22, 2019",15
"Nov 22, 2019",4
"Nov 23, 2019",186
"Nov 24, 2019",766
"Nov 25, 2019 ",766
"Nov 26, 2019",556
"Nov 27, 2019",3461
"Nov 27, 2019
            ",1715
"Nov 27, 2019",28
"Nov 27, 2019",3
"Nov 27, 2019",3
"Nov 29, 2019",8
"Nov 29, 2019",6
"Nov 29, 2019",6
"Dec 1, 2019",660
"Nov 22, 2019 ",2112
"Nov 25, 2019 ",766
"Dec 1, 2019",660
"Dec 4, 2019",106
"Dec 5, 2019",106
"Dec 5, 2019",3
"Dec 6, 2019
            ",2337
"Dec 6, 2019",488
"Dec 6, 2019",175
"Dec 6, 2019
            ",160
"Dec 6, 2019",133
"Dec 6, 2019",130
"Dec 6, 2019",12
"Nov 22, 2019 ",2112
"Dec 6, 2019",3
"Dec 6, 2019",334
"Dec 6, 2019",13
"Dec 6, 2019",1
"Dec 6, 2019",1
"Dec 6, 2019",1
"Dec 6, 2019",3
"Dec 6, 2019",3
"Dec 7, 2019",623
"Dec 8, 2019",679
"Dec 9, 2019",516
"Dec 13, 2019",4227
"Dec 13, 2019",2625
"Dec 13, 2019
            ",2502
"Dec 13, 2019",78
"Dec 13, 2019
            ",151
"Dec 13, 2019 ",2686
"Dec 13, 2019",23
"Dec 13, 2019 ",1721
"Dec 13, 2019
            ",3
"Dec 13, 2019",2
"Dec 13, 2019",2
"Dec 13, 2019",2
"Dec 13, 2019",2
"Dec 15, 2019",401
"Dec 16, 2019",284
"Dec 16, 2019",737
"Dec 19, 2019",18
"Dec 20, 2019",4406
"Dec 20, 2019
            ",3380
"Dec 13, 2019 ",1721
"Dec 20, 2019",18
"Dec 20, 2019",294
"Dec 20, 2019",294
"Dec 20, 2019",294
"Dec 25, 2019",3502
"Dec 25, 2019",3308
"Dec 25, 2019",125
"Dec 25, 2019",76
"Dec 25, 2019 ",3987
"Dec 25, 2019",182
"Dec 13, 2019 ",2686
"Dec 25, 2019 ",2457
"Dec 25, 2019",3
"Nov 25, 2019 ",766
"Dec 27, 2019",127
"Dec 27, 2019",127
"Jan 3, 2020
            ",2642
"Dec 25, 2019 ",3987
"Dec 25, 2019 ",2457
"Jan 3, 2020
            ",2642
"Jan 3, 2020",2
"Jan 3, 2020",31
"Jan 5, 2020",692
"Jan 7, 2020",597
"Jan 10, 2020
            ",3081
"Jan 10, 2020",2791
"Jan 10, 2020",300
"Jan 10, 2020
            ",100
"Dec 25, 2019 ",3987
"Dec 25, 2019 ",2457
"Jan 10, 2020",69
